county,homicide,robbery,rape,aggravated_assault
laramie,4,21,125,192
harris,28636,23620,0,65989
burleigh,3,4,18,231
minnehaha,10,25,86,499
natrona,4,6,44,95
cass,6,11,49,170
pennington,15,30,181,848
new_york_county,1263,64603,32809,113294
allegheny,418,183,721,1275
kent,66,163,319,2286
new_castle,116,1201,989,6532
dallas,2918,37563,23527,71133
albany,171,2692,1506,5796
philadelphia,43596,50957,0,72380
miami,703,8849,8849,26304
south_san_francisco,6,352,71,1042
san_diego,228,0,3168,14986
duval,994,7319,4820,40001
